date,product_id,quantity,lag_1,lag_2,lag_3,lag_7,rolling_mean_7,rolling_std_7,diff_1,day_of_week,month,is_weekend,is_black_friday_month
76,2017-01-22,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,1,0
86,2017-01-23,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
96,2017-01-24,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0
106,2017-01-25,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0,0
116,2017-01-26,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0,0
126,2017-01-27,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0
136,2017-01-28,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1,1,0
146,2017-01-29,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,1,0
156,2017-01-30,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
166,2017-01-31,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0
176,2017-02-01,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0
186,2017-02-02,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2,0,0
196,2017-02-03,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2,0,0
206,2017-02-04,25c38557cf793876c5abdd5931f922db,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2,1,0
